"";"Cultivar";"Accuracy";"N_obs"
"1";"AC Belmont";0,333333333333333;12
"2";"AC Chaleur";1;2
"3";"Amandine";1;2
"4";"Andover";0,666666666666667;6
"5";"Aquilon";0,857142857142857;14
"6";"Argos";0,25;4
"7";"Atlantic";0,577777777777778;45
"8";"Bijou Rouge";0,8;5
"9";"Carolina";1;3
"10";"Chieftain";0,797297297297297;74
"11";"Coastal Russet";0,547619047619048;42
"12";"Dark Red Chieftain";0,571428571428571;7
"13";"Estima";0,636363636363636;11
"14";"FL 1207";0,676056338028169;71
"15";"FL 1533";0,652173913043478;46
"16";"Frontier Russet";0,666666666666667;6
"17";"Goldrush";0,813793103448276;145
"18";"Harmony";1;2
"19";"Kennebec";0,729166666666667;48
"20";"Keuka Gold";1;1
"21";"Krantz";1;3
"22";"Lanorma";1;1
"23";"Mystere";0,769230769230769;13
"24";"Nordonna";0,75;4
"25";"Norland";0,823529411764706;17
"26";"Pike";0,666666666666667;3
"27";"Pommerelle";0,692307692307692;13
"28";"Prospect";1;6
"29";"Reba";1;4
"30";"Red Cloud";1;2
"31";"Red Maria";0,5;4
"32";"Roko";0,5;4
"33";"Russet Burbank";0,25;4
"34";"Russet Norkota";1;1
"35";"Shepody";0,448275862068966;29
"36";"Sifra";0,666666666666667;3
"37";"Snowden";0,847826086956522;46
"38";"Superior";0,686274509803922;102
"39";"Vivaldi";1;6
"40";"W 1386";1;2
"41";"Waneta";0,5;2
"42";"Yukon Gold";0,666666666666667;24
