"";"NoEssai";"NoBloc";"NoTraitement";"clr_N";"clr_P";"clr_K";"clr_Mg";"clr_Ca";"clr_Fv";"Cultivar";"Maturity5";"RendVendable";"yieldClass";"ionomicGroup"
"1";1;1;1;0,332118621974122;-2,5183251019693;0,837938307213595;-1,6390756417755;-0,479468840404545;3,46681265496163;"Goldrush";"mid-season";18,9442;"LY";"4"
"2";1;1;2;0,425230240672204;-2,39495746036686;1,13872910434138;-2,34616729619742;-0,515492410719696;3,6926578222704;"Goldrush";"mid-season";40,3518;"HY";"4"
"3";1;1;3;0,445341749352961;-2,36542912244406;1,01122715030198;-1,99073567300265;-0,729083757090033;3,6286796528818;"Goldrush";"mid-season";33,0379;"LY";"4"
"4";1;1;4;0,399326370181658;-2,59917983025506;0,794582572919579;-1,57752858272308;-0,622017137695641;3,60481660757254;"Goldrush";"mid-season";37,5505;"LY";"4"
"5";1;1;5;0,651938943332216;-2,46822090859683;0,824243272928862;-1,77507372803688;-0,747079006582726;3,51419142695536;"Goldrush";"mid-season";46,0089;"HY";"4"
"6";1;1;6;0,488564700847961;-2,52533487666148;0,941888015259825;-1,76319482461458;-0,642603629227697;3,50068061439597;"Goldrush";"mid-season";41,0167;"HY";"4"
"7";1;1;7;0,720916527451215;-2,30124900317093;0,720916527451215;-1,70162788062181;-0,87127957854838;3,43232340743869;"Goldrush";"mid-season";46,7937;"HY";"4"
"8";1;1;8;0,637949874224609;-2,3213577734781;0,817475343716562;-1,81825419580602;-0,808769687033919;3,49295643837687;"Goldrush";"mid-season";47,0117;"HY";"4"
"9";1;2;1;0,473035273465063;-2,28962529509499;0,718927666888063;-1,69826080884499;-0,541828949288051;3,3377521128749;"Goldrush";"mid-season";15,1183;"LY";"4"
"10";1;2;2;0,343129965996184;-2,27370422683436;1,20753586250133;-2,16450493486937;-0,641451636634093;3,52899496984032;"Goldrush";"mid-season";36,2643;"LY";"4"
"11";1;2;3;0,542986019848339;-2,28664033599089;0,966426853625589;-2,20325872705184;-0,685936103525545;3,66642229309435;"Goldrush";"mid-season";44,8208;"HY";"4"
"12";1;2;4;0,555238687617958;-2,43356487586152;0,895232475992071;-2,01235141078521;-0,61055286312936;3,60599798616606;"Goldrush";"mid-season";43,7962;"HY";"4"
"13";1;2;5;0,569252287546953;-2,4234318669477;0,721469756083344;-1,73028468638776;-0,66108628292594;3,5240807926311;"Goldrush";"mid-season";42,9569;"HY";"4"
"14";1;2;6;0,725190763834627;-2,32767770109017;0,759721760989641;-1,99120546446896;-0,694523262038757;3,52849390277363;"Goldrush";"mid-season";49,2462;"HY";"4"
"15";1;2;7;0,507674031853609;-2,50892594525019;0,676348133071242;-1,51728577613425;-0,588174355831031;3,43036391229062;"Goldrush";"mid-season";41,8669;"HY";"4"
"16";1;2;8;0,69426588989626;-2,42329917897103;0,781565908827568;-1,82112377661682;-0,746609039527767;3,51520019639179;"Goldrush";"mid-season";49,5841;"HY";"4"
"17";1;3;1;0,648465199117529;-2,17598777517211;1,11601031452506;-2,40778938922943;-0,691253341238963;3,51055499199791;"Goldrush";"mid-season";26,5524;"LY";"4"
"18";1;3;2;0,409979844327462;-2,66189614297756;1,02551164052492;-1,85752332730739;-0,497897213269659;3,58182519870222;"Goldrush";"mid-season";37,3761;"LY";"4"
