NoEssai;NoBloc;NoTraitement;Entreprise;NoChamp;Region;Localisation;Annee;test_type;NtotDose;PtotDose;KtotDose;LatDD;LonDD;Cultivar;Maturite;Maturity5;MaturiteAAC;Destination;DatePlantation;DOYplantation;DensitePlants;PrecedantCultural;GestionResidus;PrecCropFiveClasses;MOmethode;MOouCtot;Csol;Nsol;pHactifMethode;pHcacl2;pH1dans1;ExtractifMethode;DosageMethode;Ssol;Psol;Ksol;CaSol;MgSol;Bsol;CuSol;ZnSol;MnSol;FeSol;AlSol;AlSolTabi;KnonEchExtractifMethode;KnonEchDosage; KnonEchSol ;GranulometrieDate;TextureClasse;SableMesure;LimonMesure;ArgileMesure;DensiteApp;SableMesure_20_40_print;LimonMesure_20_40_print;ArgileMesure_20_40_print;Densite App_20_40_print;GranulometrieDate2;SableMesure_0_20_aut;LimonMesure_0_20_aut;ArgileMesure_0_20_aut;DensiteApp_0_20_aut;SableMesure_20_40_aut;LimonMesure_20_40_aut;ArgileMesure_20_40_aut;Densite App_20_40_aut;SerieSol;Classe drainage;AnalyseFoliaireStade;AnalyseFoliaireC;AnalyseFoliaireS;AnalyseFoliaireN;AnalyseFoliaireP;AnalyseFoliaireK;AnalyseFoliaireCa;AnalyseFoliaireMg;AnalyseFoliaireB;AnalyseFoliaireCu;AnalyseFoliaireZn;AnalyseFoliaireMn;AnalyseFoliaireFe;AnalyseFoliaireAl;AnalyseFoliaireSi;DateRecolte;DOYrecolte;Long_SC;RendGrosCalibre;RendGros;RendMoyCalibre;RendMoy;RendPetitCalibre;RendPetit;RendRejetCalibre;RendRejet;RendVendable;RendTotal;PoidsSpec;AnalyseTubercule_MatiereSecheRecolte;AnalyseTubercule_Crecolte;AnalyseTubercule_Srecolte;AnalyseTubercule_Nrecolte;AnalyseTubercule_Precolte;AnalyseTubercule_Krecolte;AnalyseTubercule_CaRecolte;AnalyseTubercule_MgRecolte;AnalyseTubercule_Brecolte;AnalyseTubercule_CuRecolte;AnalyseTubercule_ZnRecolte;AnalyseTubercule_MnRecolte;AnalyseTubercule_FeRecolte;AnalyseTubercule_AlRecolte;AnalyseTubercule_SiRecolte
15001;1;1;Dolbec;1514;Centre du Québec;Ste-Christ-d'Auv;2016;N;159;110;260;46.78354;-71.98566;Chieftain;Mi-saison;mid-season;Tres tardif;table;09/05/16;130;35833;Mais grain;tiges et racines;HRC;CNS Leco;Ctot;2.21;0.18;CaCl2;5.2;5.63;Mehlich 3;ICP;23.10545756;119.0695684;47.27106728;450.0504709;45.87468056;-0.760958878;0.994015177;3.97710794;8.170855026;107.7852128;827.4428757;;Knudsen et al. 1982 (HNO3);SAA;208.56;Printemps;;81.53;18.47;0;1.36;81.85;18.15;0;1.35;Automne;81.52510238;18.47489675;0;1.362238418;81.84517;18.154832;0;1.351038764;Morin;3;10% fleur;42.72472;0.4779;5.20558;0.35496;3.82801;1.33683;0.4855;0.00333;0.00114;0.00301;0.02689;0.01183;0.00617;0.05522;19/09/16;263;134;> 3 po;2.16;2.5 à 3 po;6.56;2.25 à 2.5 po;6.27;< 2.25 po;12.2;14.98;27.18;1.07;0.183746;0.0042;0.1716;0.0001;0.2347;1.4647;0.0188;0.1144;0.0002;0.0006;0.0026;0.0008;0.0042;0.003;-0.0003
15001;1;2;Dolbec;1514;Centre du Québec;Ste-Christ-d'Auv;2016;N;184;110;260;46.78354;-71.98566;Chieftain;Mi-saison;mid-season;Tres tardif;table;09/05/16;130;35833;Mais grain;tiges et racines;HRC;CNS Leco;Ctot;2.92;0.2;CaCl2;5.69;6.13;Mehlich 3;ICP;41.29825303;140.4673824;50.22846496;781.0981691;90.16776828;-0.722743029;1.61732251;4.804163962;10.60072526;118.3751548;842.1741432;;Knudsen et al. 1982 (HNO3);SAA;254.6;Printemps;;81.53;18.47;0;1.31;81.85;18.15;0;1.35;Automne;81.52510238;18.47489675;0;1.308943511;81.84517;18.154832;0;1.351038764;Morin;3;10% fleur;42.34026;0.45925;5.13315;0.3417;4.00834;1.25486;0.47451;0.00266;0.00101;0.00301;0.02406;0.01352;0.00958;0.05271;19/09/16;263;134;> 3 po;3.27;2.5 à 3 po;8.94;2.25 à 2.5 po;8.08;< 2.25 po;8.86;20.29;29.14;1.073;0.183746;0.0042;0.1716;0.0001;0.2347;1.4647;0.0188;0.1144;0.0002;0.0006;0.0026;0.0008;0.0042;0.003;-0.0003
15001;1;3;Dolbec;1514;Centre du Québec;Ste-Christ-d'Auv;2016;N;187;110;260;46.78354;-71.98566;Chieftain;Mi-saison;mid-season;Tres tardif;table;09/05/16;130;35833;Mais grain;tiges et racines;HRC;CNS Leco;Ctot;2.25;0.25;CaCl2;5.47;5.9;Mehlich 3;ICP;23.83230988;122.4759851;64.41769214;655.3933546;51.96582724;-0.670659204;1.330892056;4.771879684;8.705745356;116.9078525;838.025597;;Knudsen et al. 1982 (HNO3);SAA;225.14;Printemps;;81.53;18.47;0;1.37;81.85;18.15;0;1.35;Automne;81.52510238;18.47489675;0;1.369704855;81.84517;18.154832;0;1.351038764;Morin;3;10% fleur;41.86687;0.44235;5.27146;0.30977;4.60771;1.26975;0.45318;0.00277;0.00091;0.00261;0.02511;0.01205;0.008;0.0512;19/09/16;263;134;> 3 po;0.61;2.5 à 3 po;8.22;2.25 à 2.5 po;9.56;< 2.25 po;8.38;18.38;26.77;1.0704;0.183746;0.0042;0.1716;0.0001;0.2347;1.4647;0.0188;0.1144;0.0002;0.0006;0.0026;0.0008;0.0042;0.003;-0.0003
15001;1;4;Dolbec;1514;Centre du Québec;Ste-Christ-d'Auv;2016;N;209;110;260;46.78354;-71.98566;Chieftain;Mi-saison;mid-season;Tres tardif;table;09/05/16;130;35833;Mais grain;tiges et racines;HRC;CNS Leco;Ctot;2.5;0.16;CaCl2;5.52;5.96;Mehlich 3;ICP;31.49476078;141.0190888;43.11504381;677.724976;72.95634628;0.375522879;1.377016052;4.900398413;10.59686769;135.6699965;915.3318534;;Knudsen et al. 1982 (HNO3);SAA;245.83;Printemps;;81.53;18.47;0;1.46;81.85;18.15;0;1.35;Automne;81.52510238;18.47489675;0;1.456727456;81.84517;18.154832;0;1.351038764;Morin;3;10% fleur;42.55958;0.4558;5.42973;0.31083;4.67102;1.28423;0.45732;0.00275;0.00089;0.00264;0.02577;0.01187;0.00721;0.05173;19/09/16;263;134;> 3 po;2.32;2.5 à 3 po;7.1;2.25 à 2.5 po;10.64;< 2.25 po;8.17;20.06;28.23;1.0734;0.183746;0.0042;0.1716;0.0001;0.2347;1.4647;0.0188;0.1144;0.0002;0.0006;0.0026;0.0008;0.0042;0.003;-0.0003
15001;2;1;Dolbec;1514;Centre du Québec;Ste-Christ-d'Auv;2016;N;159;110;260;46.78354;-71.98566;Chieftain;Mi-saison;mid-season;Tres tardif;table;09/05/16;130;35833;Mais grain;tiges et racines;HRC;CNS Leco;Ctot;2.41;0.19;CaCl2;5.32;5.75;Mehlich 3;ICP;45.4498518;142.0855473;43.15741938;640.8785628;83.9154992;-0.168434162;1.708051443;5.822082205;11.34015825;137.367159;985.1499836;;Knudsen et al. 1982 (HNO3);SAA;248.23;Printemps;;81.53;18.47;0;1.33;81.85;18.15;0;1.35;Automne;81.52510238;18.47489675;0;1.326193554;81.84517;18.154832;0;1.351038764;Morin;3;10% fleur;42.46542;0.43591;5.09205;0.28747;3.96079;1.26855;0.48409;0.00273;0.00081;0.00246;0.02494;0.01858;0.01837;0.06515;19/09/16;263;134;> 3 po;2.89;2.5 à 3 po;8.48;2.25 à 2.5 po;6.91;< 2.25 po;10.94;18.28;29.21;1.0733;0.183746;0.0042;0.1716;0.0001;0.2347;1.4647;0.0188;0.1144;0.0002;0.0006;0.0026;0.0008;0.0042;0.003;-0.0003
15001;2;2;Dolbec;1514;Centre du Québec;Ste-Christ-d'Auv;2016;N;184;110;260;46.78354;-71.98566;Chieftain;Mi-saison;mid-season;Tres tardif;table;09/05/16;130;35833;Mais grain;tiges et racines;HRC;CNS Leco;Ctot;1.88;0.14;CaCl2;5.5;5.94;Mehlich 3;ICP;24.66471932;121.0852075;55.1312182;646.2750945;58.22678571;-0.236924627;1.604139325;5.004564147;9.897486373;120.6149634;873.3737611;;Knudsen et al. 1982 (HNO3);SAA;218.04;Printemps;;81.53;18.47;0;1.46;81.85;18.15;0;1.35;Automne;81.52510238;18.47489675;0;1.464193892;81.84517;18.154832;0;1.351038764;Morin;3;10% fleur;42.34531;0.43471;5.1743;0.28413;4.33196;1.20898;0.45254;0.00284;0.00068;0.00231;0.02308;0.00995;0.00406;0.04324;19/09/16;263;134;> 3 po;6.25;2.5 à 3 po;12.31;2.25 à 2.5 po;5.99;< 2.25 po;8.85;24.55;33.41;1.0721;0.183746;0.0042;0.1716;0.0001;0.2347;1.4647;0.0188;0.1144;0.0002;0.0006;0.0026;0.0008;0.0042;0.003;-0.0003
15001;2;3;Dolbec;1514;Centre du Québec;Ste-Christ-d'Auv;2016;N;187;110;260;46.78354;-71.98566;Chieftain;Mi-saison;mid-season;Tres tardif;table;09/05/16;130;35833;Mais grain;tiges et racines;HRC;CNS Leco;Ctot;1.7;0.21;CaCl2;5.54;5.98;Mehlich 3;ICP;29.6220981;131.9560952;52.33257193;640.6612022;54.68582519;-0.250076693;1.693658047;4.728197207;10.35943287;122.7371513;861.8606014;;Knudsen et al. 1982 (HNO3);SAA;218.43;Printemps;;81.53;18.47;0;1.42;81.85;18.15;0;1.35;Automne;81.52510238;18.47489675;0;1.417335568;81.84517;18.154832;0;1.351038764;Morin;3;10% fleur;42.01442;0.43162;5.03376;0.29798;4.37648;1.17829;0.45987;0.0028;0.00075;0.00244;0.02275;0.01017;0.0049;0.04544;19/09/16;263;134;> 3 po;2.79;2.5 à 3 po;9.22;2.25 à 2.5 po;6.99;< 2.25 po;10.6;19;29.6;1.075;0.183746;0.0042;0.1716;0.0001;0.2347;1.4647;0.0188;0.1144;0.0002;0.0006;0.0026;0.0008;0.0042;0.003;-0.0003
15001;2;4;Dolbec;1514;Centre du Québec;Ste-Christ-d'Auv;2016;N;209;110;260;46.78354;-71.98566;Chieftain;Mi-saison;mid-season;Tres tardif;table;09/05/16;130;35833;Mais grain;tiges et racines;HRC;CNS Leco;Ctot;2.14;0.18;CaCl2;5.4;5.83;Mehlich 3;ICP;57.8715015;142.7476146;80.10273192;780.961483;73.5472444;-0.123857467;2.194449545;6.621264682;16.62341188;137.3868407;1168.796337;;Knudsen et al. 1982 (HNO3);SAA;261.77;Printemps;;81.53;18.47;0;1.48;81.85;18.15;0;1.35;Automne;81.52510238;18.47489675;0;1.482731251;81.84517;18.154832;0;1.351038764;Morin;3;10% fleur;42.19711;0.43512;5.10297;0.26182;4.50927;1.29082;0.46558;0.0028;0.00068;0.0025;0.02487;0.01119;0.00665;0.05013;19/09/16;263;134;> 3 po;7.71;2.5 à 3 po;7.93;2.25 à 2.5 po;7.77;< 2.25 po;8.72;23.41;32.13;1.073;0.183746;0.0042;0.1716;0.0001;0.2347;1.4647;0.0188;0.1144;0.0002;0.0006;0.0026;0.0008;0.0042;0.003;-0.0003
15002;1;1;Dolbec;1710;Centre du Québec;St-Alban;2016;N;140;110;260;46.708822;-72.066333;Sifra;Mi-saison à tardif;mid-season late;Tres tardif;table;06/05/16;127;35833;Mais grain;tiges et racines;HRC;CNS Leco;Ctot;3.82;0.3;CaCl2;5.53;5.97;Mehlich 3;ICP;25.62792706;77.25125108;22.39962276;752.9215177;130.5074704;-0.60368801;0.838066316;2.619289676;3.649055716;170.1308612;1127.261749;;Knudsen et al. 1982 (HNO3);SAA;191.06;Printemps;;75.77;24.23;0;1.29;74.85;25.15;0;1.45;Automne;75.76926788;24.23073113;0;1.294783029;74.854147;25.145853;0;1.445090114;Saint-Jude;5;10% fleur;42.32983;0.54249;5.76384;0.28177;4.098;1.26545;0.95757;0.00266;0.001;0.0027;0.02514;0.01146;0.00424;0.02393;19/09/16;263;137;> 3 po;8.11;2.5 à 3 po;21.06;2.25 à 2.5 po;14.42;< 2.25 po;16;43.59;59.59;1.0826;0.223421;0.0042;0.1641;0.0001;0.2254;1.2654;0.0236;0.1127;0.0001;0.0005;0.0015;0.0006;0.0046;0.0032;0.0014
15002;1;2;Dolbec;1710;Centre du Québec;St-Alban;2016;N;167;110;260;46.708822;-72.066333;Sifra;Mi-saison à tardif;mid-season late;Tres tardif;table;06/05/16;127;35833;Mais grain;tiges et racines;HRC;CNS Leco;Ctot;2.99;0.31;CaCl2;5.68;6.12;Mehlich 3;ICP;25.79658815;95.93270619;28.22453363;778.564463;149.0027544;-0.492408594;1.007103304;3.379927566;5.667199682;150.1139036;1054.408337;;Knudsen et al. 1982 (HNO3);SAA;182.91;Printemps;;75.77;24.23;0;1.31;74.85;25.15;0;1.45;Automne;75.76926788;24.23073113;0;1.305596488;74.854147;25.145853;0;1.445090114;Saint-Jude;5;10% fleur;42.38432;0.57647;5.60888;0.25572;4.01463;1.32835;0.98596;0.00258;0.00077;0.00255;0.02574;0.01291;0.00675;0.03029;19/09/16;263;137;> 3 po;13.13;2.5 à 3 po;17.49;2.25 à 2.5 po;16.89;< 2.25 po;13.13;47.51;60.64;1.0841;0.223421;0.0042;0.1641;0.0001;0.2254;1.2654;0.0236;0.1127;0.0001;0.0005;0.0015;0.0006;0.0046;0.0032;0.0014
