"";"NoEssai";"NoBloc";"NoTraitement";"Annee";"LatDD";"LonDD";"Cultivar";"Maturity5";"RendVendable";"AnalyseFoliaireStade";"clr_N";"clr_P";"clr_K";"clr_Ca";"clr_Mg";"clr_Fv"
"1";"1";1;1;2003;46,753056;-72,338611;"Goldrush";"mid-season";18,9442;"10% fleur";0,332118621974122;-2,5183251019693;0,837938307213595;-0,479468840404545;-1,6390756417755;3,46681265496163
"2";"1";1;2;2003;46,753056;-72,338611;"Goldrush";"mid-season";40,3518;"10% fleur";0,425230240672204;-2,39495746036686;1,13872910434138;-0,515492410719696;-2,34616729619742;3,6926578222704
"3";"1";1;3;2003;46,753056;-72,338611;"Goldrush";"mid-season";33,0379;"10% fleur";0,445341749352961;-2,36542912244406;1,01122715030198;-0,729083757090033;-1,99073567300265;3,6286796528818
"4";"1";1;4;2003;46,753056;-72,338611;"Goldrush";"mid-season";37,5505;"10% fleur";0,399326370181658;-2,59917983025506;0,794582572919579;-0,622017137695641;-1,57752858272308;3,60481660757254
"5";"1";1;5;2003;46,753056;-72,338611;"Goldrush";"mid-season";46,0089;"10% fleur";0,651938943332216;-2,46822090859683;0,824243272928862;-0,747079006582726;-1,77507372803688;3,51419142695536
"6";"1";1;6;2003;46,753056;-72,338611;"Goldrush";"mid-season";41,0167;"10% fleur";0,488564700847961;-2,52533487666148;0,941888015259825;-0,642603629227697;-1,76319482461458;3,50068061439597
"7";"1";1;7;2003;46,753056;-72,338611;"Goldrush";"mid-season";46,7937;"10% fleur";0,720916527451215;-2,30124900317093;0,720916527451215;-0,87127957854838;-1,70162788062181;3,43232340743869
"8";"1";1;8;2003;46,753056;-72,338611;"Goldrush";"mid-season";47,0117;"10% fleur";0,637949874224609;-2,3213577734781;0,817475343716562;-0,808769687033919;-1,81825419580602;3,49295643837687
"9";"1";2;1;2003;46,753056;-72,338611;"Goldrush";"mid-season";15,1183;"10% fleur";0,473035273465063;-2,28962529509499;0,718927666888063;-0,541828949288051;-1,69826080884499;3,3377521128749
"10";"1";2;2;2003;46,753056;-72,338611;"Goldrush";"mid-season";36,2643;"10% fleur";0,343129965996184;-2,27370422683436;1,20753586250133;-0,641451636634093;-2,16450493486937;3,52899496984032
"11";"1";2;3;2003;46,753056;-72,338611;"Goldrush";"mid-season";44,8208;"10% fleur";0,542986019848339;-2,28664033599089;0,966426853625589;-0,685936103525545;-2,20325872705184;3,66642229309435
