NoEssai,NoBloc,NoTraitement,Annee,LatDD,LonDD,AnalyseFoliaireStade,Cultivar,Maturity5,AnalyseFoliaireC,AnalyseFoliaireS,AnalyseFoliaireN,AnalyseFoliaireP,AnalyseFoliaireK,AnalyseFoliaireCa,AnalyseFoliaireMg,AnalyseFoliaireB,AnalyseFoliaireCu,AnalyseFoliaireZn,AnalyseFoliaireMn,AnalyseFoliaireFe,AnalyseFoliaireAl,RendVendable,RendPetit,RendMoy,RendGros
1,1,1,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,39.92,0.6348,3.805,0.22,6.31,1.69,0.53,NA,9e-4,0.007,0.036,0.04,NA,18.9442,3.9458,11.4123,3.5861
1,1,2,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.85,0.8193,3.356,0.2,6.85,1.31,0.21,NA,6e-4,0.006,0.035,0.015,NA,40.3518,4.9159,17.5599,17.876
1,1,3,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.46,0.7249,3.657,0.22,6.44,1.13,0.32,NA,6e-4,0.007,0.048,0.019,NA,33.0379,6.322,13.6795,13.0364
1,1,4,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,38.66,0.5522,3.61,0.18,5.36,1.3,0.5,NA,6e-4,0.005,0.039,0.017,NA,37.5505,3.6515,16.241,17.658
1,1,5,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,42.24,0.5535,4.983,0.22,5.92,1.23,0.44,NA,6e-4,0.005,0.033,0.014,NA,46.0089,4.6652,18.9987,22.345
1,1,6,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.61,0.6453,4.277,0.21,6.73,1.38,0.45,NA,4e-4,0.005,0.034,0.023,NA,41.0167,4.7742000000000004,17.1566,19.0859
1,1,7,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.77,0.5523,5.75,0.28,5.75,1.17,0.51,NA,6e-4,0.004,0.026,0.023,NA,46.7937,3.9785,22.2142,20.601
1,1,8,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,38.74,0.4184,5.014,0.26,6,1.18,0.43,NA,8e-4,0.004,0.023,0.02,NA,47.0117,5.0576,13.0582,28.8959
1,2,1,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,37.64,0.7309,4.911,0.31,6.28,1.78,0.56,NA,8e-4,0.006,0.027,0.053,NA,15.1183,4.1856,8.6001,2.3326
1,2,2,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,39.85,0.8266,3.56,0.26,8.45,1.33,0.29,NA,6e-4,0.01,0.056,0.061,NA,36.2643,6.2457,19.2167,10.8019
1,2,3,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.51,1.336,3.896,0.23,5.95,1.14,0.25,NA,4e-4,0.007,0.047,0.024,NA,44.8208,4.5017,15.9249,24.3942
1,2,4,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,42.53,1.105,4.171,0.21,5.86,1.3,0.32,NA,4e-4,0.007,0.042,0.02,NA,43.7962,5.1557,14.4207,24.2198
