Cultivar,Maturity5,clr_N,clr_P,clr_K,clr_Ca,clr_Mg,clr_Fv
AC Belmont,early,0.7011739211752612,-2.020562597771947,0.6636507633275279,-1.1088389883621441,-1.6379323569884026,3.465342367523718
AC Chaleur,early,0.6959126103183007,-1.9731449375136472,0.34877007501423396,-1.036566845863249,-1.5447469935048863,3.505523793145273
Amandine,mid-season,0.5190872700780436,-2.289853681124912,0.5567197282766225,-0.6960420404428636,-1.6163168571416069,3.5264055803547154
Ambra,mid-season,0.7128207312558839,-1.9779393440588897,0.27517688749484526,-1.0816255474975482,-1.3929253165988624,3.464492589404573
Andover,early mid-season,0.8720026519482853,-2.1668837039225295,0.7381942013633309,-0.8083866370984749,-2.2808586944594174,3.574578785496185
Aquilon,mid-season,0.7831348728245064,-1.8648832762542602,0.38705671725699364,-0.9008355574915781,-1.8317095085385433,3.4793293707816337
Argos,late,0.7667636089462522,-1.766790757862546,0.5701557709203904,-1.2814511802953512,-1.6979296012882368,3.4318843594892003
Atlantic,mid-season,0.7835566596808814,-1.8667610705747522,0.15527456946060458,-1.0938372540123795,-1.4989217563490629,3.564291882033123
Bijou Rouge,early,0.9420411919115446,-1.9290587662622776,0.5633908631736162,-1.117907800975082,-1.9320075919526896,3.608819172137175
Carolina,early,0.5980634867496271,-2.185229180510173,0.13118758254694463,-0.8369374533448446,-1.3380483597351711,3.6279556086538762
Chieftain,mid-season,0.7593630446898643,-1.931160984813142,0.41917421201806526,-1.0556574419859905,-1.8768898331254822,3.590644632735677
Coastal Russet,mid-season,0.671740750001725,-1.8597012862199758,0.39038597194173374,-0.9471056157845492,-1.8467328050141743,3.512374004974168
Dark Red Chieftain,mid-season,0.9640080667910935,-1.712150832164985,0.3635784097523458,-1.3670670565380545,-1.855577639743252,3.645518136081316
Estima,mid-season,0.9314102408741309,-2.1324655440438725,0.5802912677932119,-0.9803116371133931,-1.833250934345788,3.529166309439336
FL 1207,mid-season late,0.7352403714316305,-2.1080476021669194,0.2918069475194227,-0.9220581692682956,-1.5054705979934564,3.461718513802878
FL 1533,mid-season,0.6215715923793348,-1.8006747707575612,0.21872390533856811,-1.1310795070453303,-1.353477518478514,3.4735910916476254
Frontier Russet,mid-season,0.5179860462906021,-2.2018400977913672,0.6226307526969794,-0.36755733942160207,-2.0638774940100557,3.5848595269354697
Goldrush,mid-season,0.8998638590244856,-1.980740844504362,0.5629246956418892,-1.0931444587411008,-1.9472893602388521,3.5739194184422662
Harmony,mid-season,0.8830244459136121,-2.0961234083374207,0.6180468202120404,-1.014207161698466,-2.0347748831080144,3.644034187018248
Kanona,mid-season,0.9126558123221746,-1.990334641658653,0.6048758375877217,-1.2910972518202721,-1.8709806077309918,3.634880851300019
