NoEssai,NoBloc,NoTraitement,Annee,LatDD,LonDD,AnalyseFoliaireStade,Cultivar,Maturity5,RendVendable,RendPetit,RendMoy,RendGros,leaf_countNA,clr_N,clr_P,clr_K,clr_Ca,clr_Mg,clr_Fv
1,1,1,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,18.9442,3.9458,11.4123,3.5861,0,0.33211862197412234,-2.5183251019693023,0.8379383072135949,-0.47946884040454485,-1.6390756417754968,3.4668126549616276
1,1,2,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,40.3518,4.9159,17.5599,17.876,0,0.4252302406722044,-2.3949574603668555,1.1387291043413783,-0.5154924107196956,-2.3461672961974243,3.692657822270396
1,1,3,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,33.0379,6.322,13.6795,13.0364,0,0.445341749352961,-2.3654291224440582,1.0112271503019792,-0.7290837570900335,-1.9907356730026473,3.6286796528817966
1,1,4,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,37.5505,3.6515,16.241,17.658,0,0.3993263701816576,-2.599179830255059,0.7945825729195786,-0.6220171376956412,-1.577528582723077,3.6048166075725385
1,1,5,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,46.0089,4.6652,18.9987,22.345,0,0.6519389433322158,-2.468220908596827,0.8242432729288622,-0.7470790065827262,-1.7750737280368818,3.514191426955356
1,1,6,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.0167,4.7742000000000004,17.1566,19.0859,0,0.4885647008479608,-2.52533487666148,0.9418880152598255,-0.6426036292276973,-1.7631948246145828,3.5006806143959746
1,1,7,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,46.7937,3.9785,22.2142,20.601,0,0.7209165274512146,-2.301249003170932,0.7209165274512146,-0.8712795785483798,-1.70162788062181,3.432323407438694
1,1,8,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,47.0117,5.0576,13.0582,28.8959,0,0.637949874224609,-2.3213577734781023,0.8174753437165623,-0.8087696870339189,-1.8182541958060212,3.49295643837687
1,2,1,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,15.1183,4.1856,8.6001,2.3326,0,0.47303527346506336,-2.2896252950949894,0.7189276668880633,-0.5418289492880506,-1.698260808844986,3.3377521128749006
1,2,2,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,36.2643,6.2457,19.2167,10.8019,0,0.34312996599618417,-2.2737042268343646,1.2075358625013273,-0.6414516366340925,-2.1645049348693726,3.5289949698403187
1,2,3,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,44.8208,4.5017,15.9249,24.3942,0,0.5429860198483389,-2.2866403359908913,0.9664268536255887,-0.6859361035255453,-2.20325872705184,3.66642229309435
1,2,4,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,43.7962,5.1557,14.4207,24.2198,0,0.5552386876179578,-2.4335648758615194,0.8952324759920707,-0.6105528631293597,-2.012351410785215,3.605997986166062
1,2,5,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,42.9569,6.2784,16.1538,20.5247,0,0.5692522875469535,-2.423431866947701,0.7214697560833438,-0.6610862829259396,-1.7302846863877557,3.524080792631098
1,2,6,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,49.2462,7.8698,24.0236,17.3528,0,0.7251907638346267,-2.327677701090173,0.7597217609896414,-0.6945232620387571,-1.99120546446896,3.5284939027736253
1,2,7,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.8669,5.0467,16.4263,20.3939,0,0.5076740318536093,-2.50892594525019,0.6763481330712424,-0.5881743558310313,-1.5172857761342482,3.430363912290616
1,2,8,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,49.5841,4.0875,22.127,23.3696,0,0.6942658898962604,-2.4232991789710345,0.7815659088275679,-0.7466090395277671,-1.8211237766168162,3.515200196391788
1,3,1,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,26.5524,3.9676,17.113,5.4718,0,0.6484651991175294,-2.1759877751721057,1.1160103145250582,-0.6912533412389625,-2.4077893892294298,3.5105549919979118
1,3,2,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,37.3761,5.8206,14.2681,17.2874,0,0.4099798443274625,-2.661896142977558,1.0255116405249223,-0.4978972132696593,-1.8575233273073883,3.5818251987022216
1,3,3,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,43.3275,4.8287,16.7642,21.7346,0,0.6909623614471556,-2.353560076276268,1.0911224173256269,-0.6531503856364402,-2.45364353483325,3.6782692179731753
1,3,4,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,40.4935,6.0386,16.5462,17.9087,0,0.5010825697370715,-2.492146573598801,0.7028090675517475,-0.5792427210116577,-1.6319453083756899,3.4994429656973316
1,3,5,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,43.8616,6.976,19.075,17.8106,0,0.4784082673398249,-2.533619088700669,0.8019810104756737,-0.5809292526599767,-1.666118520995945,3.5002775845410934
1,3,6,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,45.998,6.104,19.4674,20.4266,0,0.883880113576228,-2.3722144217745806,0.6588849956167016,-0.7158929234416305,-1.9275286005131353,3.472870836536418
1,3,7,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,42.074,7.1504,22.3123,12.6113,0,0.5442099722350471,-2.4745167602428997,0.6797045947369478,-0.814220430575308,-1.4053183567810836,3.470140980627294
1,3,8,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,54.5109,4.9922,24.4269,25.0918,0,0.5950305229019008,-2.3552393765753328,0.6606585665732525,-0.40405217041917574,-1.913406624296294,3.4170090818156496
2,1,1,2003,46.753056,-72.338611,10% fleur,Eramosa,early,13.0255,4.7633,5.1775,3.0847,0,0.27111071009202004,-2.1422487884039327,0.0707241459004262,-0.23094416852609445,-1.9286746881058736,3.9600327890434555
2,1,2,2003,46.753056,-72.338611,10% fleur,Eramosa,early,28.4817,6.1258,10.3441,12.0118,0,0.36483668440697414,-2.4415494174160974,1.0354860406375623,-0.521956576678158,-1.9772438092849995,3.5404270783347194
