N_imp,P_imp,K_imp,Ca_imp,Mg_imp
3.805,0.22,6.31,1.6900000000000002,0.53
3.356,0.20000000000000004,6.849999999999999,1.31,0.21
3.657,0.22,6.44,1.13,0.32
3.61,0.18000000000000002,5.36,1.3,0.5
4.983,0.22,5.919999999999999,1.23,0.44
4.277,0.21,6.73,1.38,0.45
5.75,0.28,5.75,1.17,0.51
5.014,0.26,6,1.18,0.43
4.911,0.31,6.28,1.78,0.56
3.56,0.26,8.45,1.33,0.29
3.8959999999999995,0.23,5.95,1.14,0.25
4.171,0.21,5.86,1.3,0.32
4.586,0.23,5.34,1.34,0.46
5.294,0.25,5.48,1.28,0.3499999999999999
4.697,0.23,5.56,1.57,0.62
5.196,0.23,5.669999999999999,1.23,0.42
4.887,0.29,7.8,1.28,0.23
3.669,0.17,6.79,1.4799999999999998,0.38000000000000006
4.41,0.21,6.580000000000001,1.15,0.19000000000000003
4.389,0.22,5.37,1.49,0.52
4.269,0.21,5.900000000000001,1.4799999999999998,0.5
6.486999999999999,0.25,5.18,1.31,0.38999999999999996
4.707,0.23,5.39,1.21,0.67
5.16,0.27,5.510000000000001,1.8999999999999997,0.42
2.346,0.21,1.92,1.42,0.26
3.641,0.22,7.12,1.5,0.3499999999999999
3.329,0.17,5.7,1.51,0.22
2.299,0.23,7.21,1.11,0.41
4.679,0.20000000000000004,7.16,0.46,0.18000000000000002
2.496,0.15,6.16,1.59,0.7799999999999999
3.3639999999999994,0.16,8.15,1.72,0.31
3.456,0.16,6.68,1.6900000000000002,0.34
3.932,0.24,7.75,1.59,0.27
2.469,0.18000000000000002,6.71,1.68,0.29
2.984,0.19000000000000003,7.05,1.6900000000000002,0.3
4.382,0.20000000000000004,7.84,1.59,0.36000000000000004
3.43,0.17,8.3,1.34,0.20000000000000004
4.191,0.17,8.77,1.58,0.55
3.994,0.14,8.68,1.58,0.38999999999999996
4.189,0.18000000000000002,8.44,1.6900000000000002,0.59
2.882,0.22,7.89,1.6000000000000003,0.4000000000000001
4.143,0.16,6.52,1.9400000000000002,0.47
1.922,0.20000000000000004,7.86,1.84,0.48
3.013,0.17,6.29,1.47,0.29
4.159,0.17,6.96,1.7700000000000002,0.93
3.2930000000000006,0.17,7.89,1.8,0.38000000000000006
4.282,0.14,9.56,1.93,0.6999999999999998
4.036,0.19000000000000003,5.510000000000001,1.71,0.68
5.373333333333332,0.3966666666666667,4.206666666666666,1.05,0.6466666666666667
5.566666666666667,0.5533333333333333,5.89,0.7633333333333333,0.6033333333333334
5.015,0.4633333333333334,4.900873333333333,0.8300000000000001,0.61
4.3260000000000005,0.2966666666666667,3.95891,1.1733333333333333,0.5299999999999999
5.433333333333334,0.43,5.406666666666666,1.09,0.57
6.003,0.4266666666666667,4.27,1.0766666666666664,0.52
5.964333333333333,0.4366666666666666,5.57,0.8266666666666667,0.5
6.021999999999999,0.49862,5.5200000000000005,0.8433333333333334,0.57
5.6513333333333335,0.39666666666666667,4.553333333333334,0.8933333333333332,0.5266666666666667
5.199999999999999,0.5533333333333333,4.5,0.88,0.6066666666666667
5.8,0.41999999999999993,5.246666666666666,0.91,0.5233333333333333
3.915333333333333,0.27,4.62,0.6566666666666666,0.3133333333333333
4.941999999999999,0.47666666666666674,5.18,0.9899999999999999,0.5966666666666667
5.965223333333333,0.33666666666666667,4.526666666666666,1.37,0.5299999999999999
4.926000000000001,0.38666666666666666,5.763333333333333,1.3666666666666665,0.4366666666666667
6.178333333333334,0.5333333333333333,6.080000000000001,0.8233333333333334,0.4766666666666666
5.119433333333333,0.31666666666666665,4.2,1.15574,0.41
5.1496666666666675,0.30000000000000004,4.406666666666667,1.3266666666666664,0.5233333333333333
5.233333333333333,0.41,4.75,1.03,0.59
5.423266666666667,0.40198333333333336,5.5778533333333336,0.9,0.4633333333333334
5.931,0.4000000000000001,5.673333333333333,1.4133333333333333,0.5933333333333334
5.433333333333334,0.4052533333333333,4.873443333333333,0.8266666666666667,0.4833333333333334
5.8950000000000005,0.5066666666666667,6.1499999999999995,1.24,0.6633333333333334
5.134,0.49333333333333335,5.149283333333333,0.7466666666666667,0.61
5.885333333333333,0.4833333333333334,5.096666666666667,0.93,0.58
4.9319999999999995,0.3433333333333333,4.913333333333333,1.1199999999999999,0.4514766666666667
5.2452266666666665,0.44333333333333336,5.7299999999999995,0.9433333333333334,0.5533333333333333
5.94,0.45,4.966666666666666,1.1933333333333334,0.5700000000000001
6,0.5133333333333333,5.07,1.1300000000000001,0.5199999999999999
6.150333333333333,0.33666666666666667,5.366666666666667,1.06,0.64
5.822666666666667,0.3520233333333333,5.26,0.98,0.59
5.934566666666666,0.5233333333333333,5.416666666666667,0.5866666666666666,0.5633333333333334
5.499,0.51,5.21,0.82,0.47
4.311,0.22,4.9,0.7600000000000001,0.24
4.407,0.27,4.37,0.83,0.16
4.845,0.3,4.74,0.6,0.22
5.244,0.20000000000000004,3.34,0.88,0.17
7.852999999999999,0.34,4.37,0.7399999999999999,0.22
6.038999999999999,0.38000000000000006,4.68,0.66,0.20000000000000004
4.01,0.22,4.53,0.62,0.15
4.906,0.28,4.88,0.83,0.20000000000000004
5.918,0.36000000000000004,4.42,0.7600000000000001,0.15
5.797,0.3499999999999999,5.25,0.73,0.17
5.87,0.28,5.14,0.7399999999999999,0.18000000000000002
6.006,0.3,4.44,0.73,0.36000000000000004
4.208,0.23,5.11,0.62,0.18000000000000002
4.422,0.25,4.88,0.7200000000000001,0.12
4.666,0.27,4.15,0.59,0.12
4.856,0.29,4.37,0.5,0.07
5.256,0.3,4.02,0.63,0.13
5.428999999999999,0.3,5,0.79,0.18000000000000002
3.2099999999999995,0.20000000000000004,4.19,0.6999999999999998,0.27
4.156,0.24,4.93,0.84,0.26
4.987,0.29,5.88,0.85,0.29
5.712,0.28,5.27,0.83,0.38000000000000006
6.444,0.28,5.37,0.9899999999999999,0.32
