Cultivar,clr_N,clr_P,clr_K,clr_Mg,clr_Ca,clr_Fv
AC Belmont,0.7026280465079012,-2.119898172591353,0.6220312796397396,-1.6232432107072348,-1.0722821806066394,3.490764237757586
AC Chaleur,0.7035859512696034,-1.9323529680409046,0.35992275529427964,-1.5528633463360006,-1.0741260371215104,3.495833644934532
Amandine,0.5190872700780436,-2.289853681124912,0.5567197282766225,-1.6163168571416069,-0.6960420404428636,3.5264055803547154
Ambra,0.7128207312558839,-1.9779393440588897,0.27517688749484526,-1.3929253165988624,-1.0816255474975482,3.464492589404573
Andover,0.9042959764111823,-2.2033679255392014,0.7425304936015057,-2.1944661525057105,-0.8495265673254889,3.6005341753577125
Aquilon,0.8099458559378366,-1.9393044082256936,0.4036537412694553,-1.8335984035301296,-0.893893507906089,3.4531967224546194
Argos,0.8188867187061581,-1.7540190679392809,0.4017601012215466,-1.6979296012882368,-1.1305518080173251,3.3618536573171385
Atlantic,0.7745034648984372,-1.9014375426209174,0.1316456101770547,-1.502838303738967,-1.0694300049172165,3.56755677620161
Bijou Rouge,0.9623500507295967,-2.0588734077368875,0.5975211011690258,-2.1643809389826028,-1.0122616021172033,3.6756447969380703
Carolina,0.5952950581581381,-2.1794477860666013,0.1139781559033007,-1.3239345563036797,-0.8330738679414692,3.62718299625031
Chieftain,0.7903461021409282,-1.8699757848088179,0.3853351182218075,-1.8794209497124907,-1.0373166277482364,3.611032141906809
Coastal Russet,0.6927106015473558,-1.8384069334481428,0.4127561571757696,-1.8438997880465442,-0.9732077495458189,3.55004771231738
Dark Red Chieftain,0.9528109931070348,-1.7479214229742148,0.3074984655164007,-1.9204022807065888,-1.3509132000936515,3.758927445151021
Estima,0.9734668328904508,-2.110976664787086,0.5490027877741089,-1.9587064154621092,-1.0493995878242242,3.59661304740886
FL 1207,0.7680782621345089,-2.0596097198435794,0.2523922740950671,-1.5016160085917052,-0.9198540767661861,3.4606092689718944
FL 1533,0.625379916956525,-1.8264349423880777,0.21195545181267514,-1.38037572700886,-1.095024444069353,3.46449974469709
Frontier Russet,0.5315857788455787,-2.4842406926340566,0.5751463878232549,-2.064539099719184,-0.1642015027489242,3.6062491284333302
Goldrush,0.8856262999633919,-1.9493042704912646,0.5529500236898901,-1.9426114725106947,-1.1292567908012123,3.5825962101498896
Harmony,0.9414290569638561,-2.0700711046175413,0.6163175997034891,-2.1064387487884164,-1.0715422745064145,3.690305471245027
Kanona,0.9126558123221746,-1.990334641658653,0.6048758375877217,-1.8709806077309918,-1.2910972518202721,3.634880851300019
Kennebec,0.6541517698308761,-2.051327994177503,0.6932988498320227,-2.0405187051264058,-0.8725756293624458,3.6169717090034554
Keuka Gold,0.9159765704743017,-2.060572883662916,0.29713150855220993,-1.5905692544171801,-1.1990903882837554,3.637124447337338
Krantz,0.9302203375721407,-1.8788779120904553,0.4150614323485602,-2.1782961626348074,-0.7837371505393111,3.495629455343873
Lanorma,1.005156492421428,-2.3769713265203767,0.47244982776269273,-1.6838241459604313,-1.26000989918407,3.843199051480755
Mystere,0.6208458850597097,-2.0288134487820177,0.5145687033355989,-1.7401907585078291,-0.7905268230525528,3.4241164419470898
Nordonna,0.8003746445231537,-2.072504946220112,0.3444904979516785,-1.5987205941344702,-0.9943015291832089,3.5206619270629567
Norland,0.8095532191994582,-2.029357443413021,0.029715435444770844,-1.5881658564756762,-1.0030107477234438,3.781265392967912
Peribonka,0.93813889079131485,-1.788078614266344,0.48918867074341144,-1.9887493097284956,-1.1534276403880073,3.5029280028481176
Pike,0.9742206336216459,-1.983013202277508,0.5901564551950236,-1.8701351677133278,-1.4603664747287206,3.74913775590289
Pommerelle,0.5904004460234439,-2.231406542491049,0.5884919300836489,-1.4868371157798852,-0.8300290991817857,3.3693803813456276
Prospect,0.9101705372328299,-2.011305727156524,0.5300236596436955,-1.9075295617003227,-1.1126455472834962,3.5912866392638176
Reba,0.8675369769896607,-1.95118426002436,0.31984334479208887,-1.7737256605734382,-0.9834016542659234,3.5209312530819723
Red Cloud,0.7648283400253804,-1.6044481274673377,0.1372272373633061,-1.587353694108037,-1.1322916448605005,3.422037889047191
Red Maria,0.8365416558700115,-1.7393252774166414,0.53875762022701,-1.9640070917588177,-1.320084341388792,3.6481174344672294
Roko,0.6655544370264228,-2.303791261159797,0.819570469500075,-1.536247947535084,-1.0014806260582838,3.3563949282266665
Russet Burbank,0.8891336991200355,-2.076088584377869,0.25858787235597436,-1.699427322916943,-0.96719426742096,3.594988603239762
Russet Norkota,0.9553342979305706,-1.9304566300791304,0.5163413174529798,-1.672965641971727,-1.3869656786235323,3.51871233529084
Shepody,0.7372777715854898,-2.0649651207269564,0.5659823677993022,-1.8314202613245076,-0.9916418536325649,3.5847670962992364
Snowden,0.6797860697336998,-1.980475996825921,0.37397524823906086,-1.8832956514090227,-0.8449387396911533,3.6549490699533362
Superior,0.7325913396039928,-1.968282781455393,0.5717987729480151,-1.890749151670415,-1.0384568428026086,3.593098663376409
Viking,0.836247579102769,-2.156030459583135,0.20352145801758859,-1.445788845663889,-1.012466783052759,3.574517051179428
Vivaldi,0.5371895651813178,-2.149362000118547,0.5133795491492762,-1.7238156011348895,-0.4791215435867856,3.3017300305096264
W 1386,0.9205832103566001,-2.179648072864593,0.24119946260631187,-1.7467260608747475,-0.7557919786360705,3.520383439412498
