NoEssai,NoBloc,NoTraitement,clr_N,clr_P,clr_K,clr_Ca,clr_Mg,clr_Fv,RendVendable,rv_cut,yieldClass,Cultivar,Maturity5,pred_yield
1,1,1,0.33211862197412234,-2.5183251019693023,0.8379383072135949,-0.47946884040454485,-1.6390756417754968,3.4668126549616276,18.9442,41.330528837,LY,Goldrush,mid-season,LY
1,1,2,0.4252302406722044,-2.3949574603668555,1.1387291043413783,-0.5154924107196956,-2.3461672961974243,3.692657822270396,40.3518,41.330528837,LY,Goldrush,mid-season,LY
1,1,3,0.445341749352961,-2.3654291224440582,1.0112271503019792,-0.7290837570900335,-1.9907356730026473,3.6286796528817966,33.0379,41.330528837,LY,Goldrush,mid-season,HY
1,1,6,0.4885647008479608,-2.52533487666148,0.9418880152598255,-0.6426036292276973,-1.7631948246145828,3.5006806143959746,41.0167,41.330528837,LY,Goldrush,mid-season,LY
1,1,7,0.7209165274512146,-2.301249003170932,0.7209165274512146,-0.8712795785483798,-1.70162788062181,3.432323407438694,46.7937,41.330528837,HY,Goldrush,mid-season,HY
1,1,8,0.637949874224609,-2.3213577734781023,0.8174753437165623,-0.8087696870339189,-1.8182541958060212,3.49295643837687,47.0117,41.330528837,HY,Goldrush,mid-season,HY
1,2,1,0.47303527346506336,-2.2896252950949894,0.7189276668880633,-0.5418289492880506,-1.698260808844986,3.3377521128749006,15.1183,41.330528837,LY,Goldrush,mid-season,LY
1,2,2,0.34312996599618417,-2.2737042268343646,1.2075358625013273,-0.6414516366340925,-2.1645049348693726,3.5289949698403187,36.2643,41.330528837,LY,Goldrush,mid-season,HY
1,2,3,0.5429860198483389,-2.2866403359908913,0.9664268536255887,-0.6859361035255453,-2.20325872705184,3.66642229309435,44.8208,41.330528837,HY,Goldrush,mid-season,HY
1,2,4,0.5552386876179578,-2.4335648758615194,0.8952324759920707,-0.6105528631293597,-2.012351410785215,3.605997986166062,43.7962,41.330528837,HY,Goldrush,mid-season,HY
1,2,8,0.6942658898962604,-2.4232991789710345,0.7815659088275679,-0.7466090395277671,-1.8211237766168162,3.515200196391788,49.5841,41.330528837,HY,Goldrush,mid-season,LY
1,3,3,0.6909623614471556,-2.353560076276268,1.0911224173256269,-0.6531503856364402,-2.45364353483325,3.6782692179731753,43.3275,41.330528837,HY,Goldrush,mid-season,HY
1,3,4,0.5010825697370715,-2.492146573598801,0.7028090675517475,-0.5792427210116577,-1.6319453083756899,3.4994429656973316,40.4935,41.330528837,LY,Goldrush,mid-season,LY
1,3,5,0.4784082673398249,-2.533619088700669,0.8019810104756737,-0.5809292526599767,-1.666118520995945,3.5002775845410934,43.8616,41.330528837,HY,Goldrush,mid-season,LY
1,3,6,0.883880113576228,-2.3722144217745806,0.6588849956167016,-0.7158929234416305,-1.9275286005131353,3.472870836536418,45.998,41.330528837,HY,Goldrush,mid-season,HY
1,3,7,0.5442099722350471,-2.4745167602428997,0.6797045947369478,-0.814220430575308,-1.4053183567810836,3.470140980627294,42.074,41.330528837,HY,Goldrush,mid-season,LY
4,1,1,0.739547654951282,-2.235749973443491,0.8676129643028654,-0.9960590865154759,-2.1487385964538617,3.7733870371586815,20.2342047,36.5325879875,LY,Bijou Rouge,early,LY
4,1,4,1.0145046220864606,-2.252017856249093,0.5633908631736162,-0.7704133153248773,-2.414536785746868,3.859072472060758,42.22323423,36.5325879875,HY,Bijou Rouge,early,HY
4,2,1,0.8029165802530751,-2.1000023936951777,0.9248472784295401,-1.0639104620084021,-2.4829946459512833,3.919143642972248,23.02759933,36.5325879875,LY,Bijou Rouge,early,LY
4,2,2,0.8247209233119275,-2.0387036983372573,0.8194071973406856,-0.9520676007158633,-2.3751759349584702,3.721819113358975,31.25259463,36.5325879875,LY,Bijou Rouge,early,LY
4,2,3,1.019213280684872,-1.7804365208251274,0.7273544227964606,-1.0332221189949062,-2.655905258179027,3.722996194517728,34.30861611,36.5325879875,LY,Bijou Rouge,early,LY
4,2,4,0.9651680400226614,-1.8419946268336118,0.8660555742685978,-1.1068832471746348,-2.5641293442668096,3.6817836039837943,32.30310201,36.5325879875,LY,Bijou Rouge,early,LY
4,2,5,1.0043569479139283,-2.038463361738964,0.871555393540997,-1.0666027787099979,-2.4802961140180035,3.709449913012041,38.53452081,36.5325879875,HY,Bijou Rouge,early,HY
4,2,6,0.9223794252721733,-2.0743523486149016,0.6202748321551681,-1.1850902891286657,-1.8920307918209467,3.608819172137175,37.24526174,36.5325879875,HY,Bijou Rouge,early,HY
4,3,2,0.8645720924822995,-2.0083143510728454,0.9631252299121007,-0.9505240569249911,-2.7422835261530465,3.8734246117564832,22.6067995,36.5325879875,LY,Bijou Rouge,early,LY
4,3,3,0.9555930600060796,-1.8940424335769208,0.8383992206494484,-1.1123418556755302,-2.70497264979325,3.9173646583901736,24.86300285,36.5325879875,LY,Bijou Rouge,early,LY
4,3,4,1.0862900292053954,-1.7317993805534195,0.9808379845556972,-1.1870722051117468,-3.1531850614845798,4.004928633388654,30.79896644,36.5325879875,LY,Bijou Rouge,early,LY
4,3,5,1.019288207502521,-1.8440548780057249,0.7511998289511408,-1.1021175332763473,-2.6803029022063436,3.855987277034753,31.34511091,36.5325879875,LY,Bijou Rouge,early,LY
4,3,6,0.9205131659245502,-1.9752145933247003,0.8381961234353366,-1.0069641225198338,-2.486040217090691,3.7095096435753354,21.87263809,36.5325879875,LY,Bijou Rouge,early,LY
5,1,1,0.5264210793259734,-2.249287770250051,0.7928508761180955,-0.9965248017546839,-1.9491831777997133,3.8757237943603844,14.36091342,29.5,LY,Shepody,mid-season,LY
5,1,3,0.7378212343486119,-2.106887648216991,0.902543469695162,-1.0315322217131482,-2.106887648216991,3.6049428141033553,25.13159849,29.5,LY,Shepody,mid-season,LY
5,1,6,0.8421992629541117,-2.184385474082644,0.6250172212798537,-0.9904630056102093,-1.7789203659744794,3.4865523614333647,26.12540235,29.5,LY,Shepody,mid-season,LY
5,2,1,0.6444549523177159,-2.453976403683726,0.8649828797414574,-0.9916961355859129,-1.7608292231237805,3.697063930334247,8.953187919,29.5,LY,Shepody,mid-season,LY
5,2,2,0.6883696718910932,-2.1678952587461997,0.8490392224583938,-1.0341916502668203,-1.916580830465294,3.5812588451288274,20.78930235,29.5,LY,Shepody,mid-season,LY
5,2,3,0.9120592235955582,-1.9549784261345247,0.8456233323329307,-0.9188864944477482,-2.507047008434564,3.623229373088347,22.57993993,29.5,LY,Shepody,mid-season,LY
5,2,4,0.8961605678295927,-2.122749294037104,0.8414567258701133,-1.1725570104872678,-2.024309221223851,3.5819982320485138,22.61575268,29.5,LY,Shepody,mid-season,LY
5,2,6,0.8597701731676906,-1.983409242460572,0.8592978437878949,-0.9693543418205253,-2.227031325118323,3.460726892443834,22.63365906,29.5,LY,Shepody,mid-season,LY
5,3,1,0.6523260457514795,-2.532720820087437,0.7233493747888127,-0.8719896132657854,-1.5853395011432503,3.61437451395618,11.51379966,29.5,LY,Shepody,mid-season,LY
5,3,2,0.6564141798152008,-2.2240798941615934,0.7223813303856153,-0.9713169256662253,-1.7932969780691383,3.6098982876961427,24.28104564,29.5,LY,Shepody,mid-season,LY
5,3,3,0.8027932306790606,-2.455495596545975,0.7890479750708033,-1.056778715427527,-1.7135582518165982,3.633991358040235,24.45115621,29.5,LY,Shepody,mid-season,LY
5,3,4,0.7807139811933084,-2.2680511442689046,0.632192362106414,-0.9089077722149654,-1.708435356333482,3.4724879295176274,23.70804161,29.5,LY,Shepody,mid-season,HY
5,3,5,0.9378579229578028,-2.119715270961111,0.550859818974553,-1.1432056790939007,-1.8234494548179385,3.597652662940596,23.86919899,29.5,LY,Shepody,mid-season,LY
5,3,6,0.8703949160049169,-2.283922634444198,0.5793358880434059,-1.0688999939316775,-1.5907754538842527,3.493867278211807,18.56891174,29.5,LY,Shepody,mid-season,HY
6,1,1,0.4150173257063301,-2.1242854386290437,0.7957350131892511,-0.8956200217127357,-2.00650240297266,3.815655524418862,23.71997919,37.34314992950001,LY,Prospect,mid-season,LY
6,1,2,0.5196322047285418,-2.084765423060998,0.7663856216818856,-1.1839788777228084,-1.787513899593066,3.7702403739664487,33.7953,37.34314992950001,LY,Prospect,mid-season,LY
6,1,3,0.7627555408831661,-2.0153980259900224,0.7965830979604194,-1.0849226591239112,-2.212108320236077,3.7530903665064255,34.04598926,37.34314992950001,LY,Prospect,mid-season,HY
6,1,4,0.8987784760591242,-2.1254718364160996,0.794227536574585,-1.0632271919188647,-2.1254718364160996,3.621164852117358,38.35545705,37.34314992950001,HY,Prospect,mid-season,LY
6,1,5,0.870211699453677,-2.0446832799932397,0.7414847003729221,-1.2063540895887965,-1.9269002443368568,3.566241214092294,39.77602953,37.34314992950001,HY,Prospect,mid-season,HY
6,1,6,0.7709390585382296,-2.3031250582856684,0.617644176794867,-1.1216251098117906,-1.440078840930326,3.476245773694689,42.82011342,37.34314992950001,HY,Prospect,mid-season,HY
6,2,1,0.6439832164910864,-2.0148767404203514,0.7676623126725977,-1.0440978232621272,-2.238020291734561,3.885349326253359,22.63365906,37.34314992950001,LY,Prospect,mid-season,HY
6,2,3,0.8144578221250547,-2.144051740938328,0.6546357342688145,-1.0846601654234997,-1.9364123761600829,3.696030726128043,27.58775638,37.34314992950001,LY,Prospect,mid-season,LY
6,2,4,0.92270389601723,-2.1387080742088496,0.7976007788743411,-1.092739519026161,-2.1779287873621302,3.68907170570557,29.41420671,37.34314992950001,LY,Prospect,mid-season,HY
6,2,5,0.9175585089378266,-2.204969560994056,0.8091118512281317,-0.8468460768408619,-2.2427098889769033,3.5678551666458596,34.77418188,37.34314992950001,LY,Prospect,mid-season,LY
6,2,6,0.9643883710148984,-2.289118897822943,0.7997567074502832,-0.9898359136926813,-2.2425988821880494,3.757408615238493,35.80081409,37.34314992950001,LY,Prospect,mid-season,LY
6,3,2,0.6640300047056997,-2.300070865707149,0.8530535815982714,-1.0870482258612948,-1.835765257576051,3.7058007628405245,27.48628691,37.34314992950001,LY,Prospect,mid-season,LY
6,3,4,1.0223167872188559,-2.115262210563371,0.6523139698528655,-1.030072942227402,-2.2896155977081496,3.760319993427202,37.53176376,37.34314992950001,HY,Prospect,mid-season,HY
6,3,5,0.9354369972489525,-2.2623080459891747,0.7951177965701559,-1.148657879956525,-2.0575136333431616,3.737924765469752,35.61578154,37.34314992950001,LY,Prospect,mid-season,LY
6,3,6,1.0006107903151955,-2.14602513894249,0.8243893266272115,-1.1274555579479162,-2.226067846616026,3.674548426564024,37.85407852,37.34314992950001,HY,Prospect,mid-season,HY
7,1,1,0.5175159670963381,-2.2802733687607417,0.8552208471684084,-0.958517528778422,-1.7694477449947503,3.6355018282691667,30.65571544,30.659018009,LY,Yukon Gold,mid-season,LY
7,1,4,0.6791323393542403,-2.2813427843129026,0.6649741296777378,-0.9885744812038353,-1.5360098505823871,3.461820647067149,36.9856193,30.659018009,HY,Yukon Gold,mid-season,HY
7,1,5,0.690719268864818,-2.236697243812561,0.6574986105220071,-0.9311642393371282,-1.6527493552176078,3.4723929589804747,38.03314228,30.659018009,HY,Yukon Gold,mid-season,HY
7,1,6,0.7685503424078699,-2.1836681449601545,0.5393236361402547,-1.042944370941918,-1.540117905539581,3.4588564428935307,39.59995017,30.659018009,HY,Yukon Gold,mid-season,LY
7,2,1,0.5173921620046142,-2.3052260355063354,0.8229954210937347,-0.8983123871837084,-1.7456102475709128,3.608761087162607,30.43188574,30.659018009,LY,Yukon Gold,mid-season,LY
7,2,3,0.6142572009807572,-2.17034243392516,0.8034850042407813,-1.0942030011091082,-1.6595168101591686,3.5063200399719,42.95739564,30.659018009,HY,Yukon Gold,mid-season,HY
7,2,4,0.6724957450665436,-2.2059775490380065,0.4603541984969115,-0.7346899750847231,-1.6326315682906816,3.4404491488499542,37.75559346,30.659018009,HY,Yukon Gold,mid-season,HY
7,2,6,0.6530399938555704,-2.3108100908280993,0.466079713311073,-0.7013721783939988,-1.5037186509189362,3.3967812129743886,41.29210268,30.659018009,HY,Yukon Gold,mid-season,HY
7,3,1,0.40691458112298307,-2.2457638444442405,0.7338390471798668,-0.8299106810828056,-1.7034395536188787,3.638360450843075,24.16465419,30.659018009,LY,Yukon Gold,mid-season,LY
7,3,2,0.4510165331339371,-2.2152533600062068,0.6538204002110239,-0.7462672830412025,-1.6507235572683543,3.5074072669708065,28.16672919,30.659018009,LY,Yukon Gold,mid-season,LY
7,3,3,0.5424299303000666,-2.098054951306377,0.5691732552755777,-0.882718388330126,-1.5590584505736906,3.428228604634553,27.29826997,30.659018009,LY,Yukon Gold,mid-season,LY
7,3,5,0.8572190043125625,-2.110995240347536,0.406125029424119,-0.7988088513813678,-2.009212546037594,3.6556726040298217,29.54552013,30.659018009,LY,Yukon Gold,mid-season,LY
7,3,6,0.6540728395395723,-2.1174736731217654,0.4954515162166455,-0.9218691184663457,-1.4814849064017683,3.3713033422336616,28.48904396,30.659018009,LY,Yukon Gold,mid-season,LY
8,1,1,0.6890955707833273,-2.1641766794018396,0.67555134567557,-1.0655643907337295,-1.771134091292232,3.6362282449689025,25.36310235,54.849089601,LY,Estima,mid-season,LY
8,1,2,0.7697118554870666,-2.157473875531814,0.6861888843987427,-0.9898687153767534,-1.9061594472509085,3.597601298273665,41.97766107,54.849089601,LY,Estima,mid-season,LY
8,1,3,0.8343748999097675,-2.1347152814074666,0.7574469872624863,-1.025407703622609,-1.9311163261662272,3.49941742402405,59.27010403,54.849089601,HY,Estima,mid-season,HY
8,1,4,0.9189132173047052,-2.122069938429158,0.6403869848802164,-0.9508869569262126,-2.0007090814248905,3.514365774595341,54.64002685,54.849089601,LY,Estima,mid-season,LY
8,1,6,0.9019773328054832,-2.102311974681487,0.683856005684675,-0.7805561346991681,-2.20075204749474,3.4977868183852396,47.56700839,54.849089601,LY,Estima,mid-season,LY
8,2,1,0.7564534590179388,-2.081324614190392,0.7387306452883129,-0.8024505016913381,-2.3326390424712984,3.7212300540467793,37.5735453,54.849089601,LY,Estima,mid-season,HY
8,2,2,0.7180892684415827,-1.9985513798656651,0.7703540969578193,-0.7374201616997809,-2.3060360796136257,3.5535642557796705,45.52696057,54.849089601,LY,Estima,mid-season,LY
8,2,3,0.7539091385988379,-2.024361937854781,0.7463868574629928,-0.9159934742413065,-2.0849865596712154,3.5250459757054706,45.12406711,54.849089601,LY,Estima,mid-season,LY
8,2,4,0.957020010097136,-1.8635753614243877,0.7371631038887343,-0.9903020146339236,-2.4101190677924573,3.5698133298648975,63.60344698,54.849089601,HY,Estima,mid-season,HY
8,2,5,0.8833134017767348,-1.8440724642036441,0.7042560120218524,-0.863243211191917,-2.362866257618811,3.482612519215784,51.19595638,54.849089601,LY,Estima,mid-season,LY
8,2,6,0.8953082406524184,-2.038852534367407,0.7265676983937612,-0.7113986732704505,-2.3361040578353394,3.464479326427016,57.21087081,54.849089601,HY,Estima,mid-season,LY
8,3,2,0.8070321340230064,-2.05988666405163,0.8362157685535201,-0.9498456795598966,-2.291688278108954,3.658172719143953,49.5518255,54.849089601,LY,Estima,mid-season,LY
8,3,3,0.9523341835519714,-1.972841496538885,0.8342996072075555,-1.0077606004952986,-2.4428451257846207,3.6368134320592773,56.73065436,54.849089601,HY,Estima,mid-season,HY
8,3,4,0.9422121851274534,-1.9466151709173372,0.8102251943543051,-0.9868393271034432,-2.3520802790255018,3.5330973975645232,58.96081208,54.849089601,HY,Estima,mid-season,HY
8,3,5,0.9871586764454228,-1.9973342004728765,0.8006642372922728,-1.023885054758773,-2.304818900220837,3.538215241714791,52.95403691,54.849089601,LY,Estima,mid-season,LY
8,3,6,0.9495621409869561,-2.1302158066802783,0.7441556098694448,-0.9737839471233429,-2.204323778834001,3.6146057817812225,65.78151342,54.849089601,HY,Estima,mid-season,HY
9,1,1,0.7501693918296573,-2.1854589576546286,0.892237253750793,-0.5928281635369088,-2.5909240657627923,3.7268045413738786,32.87028772,39.969716831,LY,Andover,early mid-season,LY
9,1,2,0.8118805446051485,-2.03928827775749,1.0014173614392323,-0.548633901313357,-3.0609395252894718,3.835563798315941,41.81138758,39.969716831,HY,Andover,early mid-season,LY
9,1,4,0.9950424673212956,-2.1845102391503857,0.8368897811521827,-0.7494257138610636,-2.5701727199623705,3.6721764245003476,43.00216158,39.969716831,HY,Andover,early mid-season,HY
9,1,5,1.0774829160839832,-2.4267389214384507,0.8419847091573178,-0.8862938804913019,-2.372671700168175,3.7662368768566274,43.93329312,39.969716831,HY,Andover,early mid-season,HY
9,2,2,0.809214065967037,-2.2216922825946077,0.7800220626369305,-0.6614446143512791,-2.3495256541044927,3.643426422446413,38.73149094,39.969716831,LY,Andover,early mid-season,LY
9,2,3,0.749688545230605,-2.2523698301260753,0.7337005325161794,-0.8757373799179211,-1.926947429691447,3.5716655619886577,44.50261054,39.969716831,HY,Andover,early mid-season,HY
